,unique_locations,most_active_hour,weekend_activity,weekday_activity,amount_of_activity,room_transition_count,toilet,bathroom1,bedroom1,conservatory,dining_room,hallway,kitchen,living_room,lounge,study,average_consecutive_no_motion,longest_consecutive_no_motion,minimum_consecutive_no_motion,night,morning,afternoon,evening,distinct_days_with_activity,common,other,private,avg_peak_activity_window,multiple_occupancy
22,2,9,0,93,1390.2,8,0.0,0.0,0.0,0.0,0.0,465.06666666666666,925.1333333333333,0.0,0.0,0.0,14.948387096774194,629.1666666666666,0.11666666666666667,0,55,20,18,31,93.0,0.0,0.0,13.0,0
23,2,12,0,99,1461.5833333333333,22,0.0,0.0,0.0,0.0,0.0,1072.95,388.6333333333333,0.0,0.0,0.0,14.763468013468012,702.9,0.06666666666666667,0,31,40,28,31,99.0,0.0,0.0,13.0,0
24,2,11,0,117,1363.2166666666667,32,0.0,0.0,0.0,0.0,0.0,485.2,878.0166666666667,0.0,0.0,0.0,11.651424501424502,675.2666666666667,0.03333333333333333,0,57,37,23,31,117.0,0.0,0.0,12.0,0
25,2,17,0,91,1436.0833333333333,20,0.0,0.0,0.0,0.0,0.0,500.35,935.7333333333333,0.0,0.0,0.0,15.781135531135531,762.35,0.016666666666666666,0,25,54,12,31,91.0,0.0,0.0,11.0,0
26,2,9,104,0,1448.5166666666667,26,0.0,0.0,0.0,0.0,0.0,204.68333333333334,1243.8333333333333,0.0,0.0,0.0,13.92804487179487,828.65,0.05,0,46,49,9,31,104.0,0.0,0.0,10.0,0
27,2,8,89,0,1472.8,16,0.0,0.0,0.0,0.0,0.0,1239.6166666666666,233.18333333333334,0.0,0.0,0.0,16.548314606741574,775.6833333333333,0.3,0,37,36,16,31,89.0,0.0,0.0,11.0,0
28,2,12,0,112,1520.2333333333333,38,0.0,0.0,0.0,0.0,0.0,1102.0833333333333,418.15,0.0,0.0,0.0,13.573511904761904,637.35,0.016666666666666666,0,22,68,22,31,112.0,0.0,0.0,15.0,0
29,2,9,0,112,1484.1833333333334,28,0.0,0.0,0.0,0.0,0.0,526.1,958.0833333333334,0.0,0.0,0.0,13.251636904761906,628.95,0.05,0,36,56,20,31,112.0,0.0,0.0,15.0,0
30,2,8,0,141,1392.6833333333332,42,0.0,0.0,0.0,0.0,0.0,942.2666666666665,450.4166666666667,0.0,0.0,0.0,9.877186761229312,587.6833333333333,0.03333333333333333,0,47,64,30,31,141.0,0.0,0.0,14.0,0
31,6,12,0,520,1134.3666666666666,291,0.0,30.683333333333334,257.25,0.0,0.0,78.1,196.96666666666667,0.0,448.18333333333334,123.18333333333334,2.1856775850995502,149.88333333333333,0.0,7,201,228,84,31,452.0,0.0,68.0,19.0,1
